ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
16713,-0.003,-0.026,1.151,-13.489,7.690,10.742
16737,-0.050,-0.005,1.166,-27.588,20.020,1.465
16754,-0.028,0.042,1.091,-32.227,28.931,-0.366
16779,-0.071,0.102,0.970,-20.508,45.471,-5.676
16823,0.126,0.047,0.996,0.427,-15.747,-1.770
16844,0.022,0.074,0.944,1.648,-1.709,0.549
16866,0.040,0.035,1.011,5.310,0.549,-5.920
16888,0.041,0.092,1.017,4.150,-0.427,-11.475
16912,0.017,0.065,1.004,0.061,-0.549,-19.287
16936,0.031,0.029,1.005,-0.977,0.366,-9.949
16958,0.057,-0.023,1.015,-1.648,-0.305,-4.272
16984,0.081,0.031,0.997,2.686,-1.099,-17.639
17014,0.038,0.035,1.009,-0.916,-0.916,-32.288
17031,0.001,0.044,1.008,-1.770,-0.549,-25.024
17052,-0.010,0.099,1.005,-0.488,0.244,-8.057
17084,0.041,0.043,1.006,1.343,0.061,0.122
17106,0.038,0.049,1.007,0.732,0.183,0.061
17122,0.039,0.051,1.007,0.610,0.244,-0.122
17140,0.038,0.051,1.006,0.305,0.122,-0.122
17161,0.037,0.051,1.007,0.305,0.000,-0.122
17182,0.038,0.051,1.007,0.488,0.000,0.000
17200,0.037,0.050,1.007,0.549,-0.061,-0.122
17224,0.038,0.049,1.006,0.488,-0.122,-0.061
17244,0.038,0.050,1.007,0.427,-0.122,-0.061
17260,0.038,0.049,1.007,0.244,-0.122,-0.122
17281,0.039,0.049,1.006,0.427,-0.122,-0.061
17301,0.038,0.050,1.006,0.549,0.000,-0.061
17336,0.037,0.050,1.007,0.427,0.061,0.000
17352,0.036,0.051,1.008,0.427,0.061,-0.122
17371,0.036,0.050,1.008,0.427,0.122,-0.122
17394,0.037,0.050,1.007,0.488,0.122,0.000
17411,0.038,0.051,1.008,0.488,0.061,-0.061
17427,0.039,0.050,1.007,0.488,0.122,-0.122
17451,0.039,0.049,1.005,0.427,0.061,-0.061
17467,0.038,0.049,1.006,0.366,0.000,0.000
17486,0.037,0.049,1.007,0.427,-0.061,-0.122
17504,0.037,0.050,1.008,0.427,-0.122,-0.122
17523,0.037,0.051,1.007,0.366,-0.061,-0.122
17539,0.036,0.051,1.006,0.366,-0.061,-0.122
17571,0.036,0.049,1.007,0.305,0.000,-0.061
17590,0.038,0.050,1.009,0.305,0.000,-0.122
17657,0.038,0.052,1.007,0.610,0.122,0.000
17687,0.038,0.048,1.006,0.549,0.000,-0.061
17707,0.037,0.048,1.006,0.427,0.000,-0.183
17722,0.035,0.048,1.006,0.366,0.000,-0.183
17739,0.034,0.049,1.005,0.366,0.000,-0.061
17755,0.035,0.050,1.003,0.244,0.000,0.000
17771,0.038,0.048,1.004,0.061,0.000,0.000
17787,0.039,0.046,1.005,-0.122,0.061,0.061
17804,0.039,0.046,1.010,-0.122,0.122,0.061
17821,0.039,0.052,1.006,0.000,0.061,-0.061
17854,0.040,0.057,1.007,-0.488,0.061,-0.061
17872,0.039,0.053,1.007,-0.061,0.122,-0.122
17888,0.038,0.053,1.007,0.183,0.122,-0.061
17904,0.036,0.053,1.006,0.122,0.061,-0.061
17921,0.038,0.054,1.009,0.061,-0.061,0.000
17938,0.038,0.054,1.008,0.183,0.061,-0.061
17957,0.036,0.053,1.006,0.122,0.000,-0.122
17975,0.035,0.053,1.005,0.122,0.000,-0.122
17992,0.036,0.051,1.008,0.183,0.000,-0.061
18008,0.037,0.051,1.008,0.305,0.000,0.000
18024,0.040,0.051,1.007,0.305,0.000,-0.061
18040,0.040,0.052,1.007,0.366,0.061,-0.122
18070,0.040,0.052,1.007,0.183,0.000,0.000
18087,0.039,0.052,1.007,0.183,-0.061,0.000
18103,0.038,0.050,1.006,0.610,0.122,-0.122
18122,0.038,0.050,1.006,0.427,0.122,0.000
18140,0.036,0.053,1.008,0.183,0.000,-0.061
18156,0.035,0.055,1.007,0.122,0.061,-0.061
18173,0.035,0.055,1.007,0.244,0.061,-0.122
18191,0.035,0.055,1.007,0.305,0.000,-0.061
18210,0.036,0.055,1.009,0.488,-0.061,0.000
18225,0.039,0.056,1.007,0.610,0.000,0.000
18241,0.040,0.055,1.006,0.549,0.061,-0.061
18258,0.040,0.052,1.005,0.488,0.061,-0.061
18288,0.040,0.049,1.007,0.427,0.061,0.000
18305,0.038,0.050,1.006,0.427,-0.061,0.000
18321,0.037,0.052,1.006,0.366,-0.061,-0.061
18338,0.036,0.054,1.008,0.366,0.000,-0.122
18354,0.035,0.054,1.008,0.366,0.122,-0.183
18371,0.035,0.054,1.007,0.427,0.061,-0.061
18388,0.036,0.054,1.007,0.488,0.000,-0.122
18403,0.036,0.053,1.007,0.427,0.000,-0.122
18420,0.038,0.051,1.005,0.427,0.000,-0.122
18436,0.039,0.052,1.005,0.427,0.000,-0.061
18452,0.039,0.052,1.006,0.366,0.000,0.000
18467,0.040,0.053,1.007,0.366,0.061,-0.061
18498,0.040,0.054,1.007,0.488,0.000,-0.122
18514,0.039,0.054,1.006,0.488,0.122,-0.061
18529,0.038,0.054,1.007,0.549,0.061,-0.061
18545,0.037,0.052,1.007,0.488,0.000,-0.061
18608,0.037,0.052,1.007,0.427,0.000,-0.061
18640,0.039,0.053,1.006,0.366,0.061,-0.122
18657,0.040,0.053,1.008,0.366,0.061,-0.122
18674,0.039,0.053,1.008,0.427,0.061,-0.122
18690,0.039,0.052,1.006,0.488,0.000,-0.122
18705,0.039,0.052,1.006,0.427,0.061,-0.122
18721,0.038,0.053,1.006,0.366,0.061,-0.122
18736,0.037,0.053,1.006,0.366,0.061,-0.122
18766,0.037,0.052,1.007,0.488,0.061,-0.122
18782,0.035,0.053,1.007,0.488,0.061,-0.122
18797,0.035,0.054,1.007,0.427,0.000,-0.122
18814,0.037,0.051,1.006,0.427,0.000,-0.122
18829,0.039,0.050,1.007,0.488,0.000,-0.122
18846,0.039,0.050,1.006,0.427,0.061,-0.061
18861,0.039,0.051,1.006,0.427,0.061,-0.061
18878,0.039,0.052,1.007,0.427,0.000,-0.122
18894,0.037,0.053,1.007,0.427,0.000,-0.122
18910,0.037,0.052,1.006,0.427,-0.061,-0.061
18926,0.037,0.053,1.007,0.488,-0.061,-0.061
18954,0.037,0.054,1.006,0.427,0.061,-0.061
18971,0.038,0.053,1.006,0.366,0.061,-0.122
18986,0.038,0.053,1.006,0.488,0.000,0.000
19003,0.037,0.051,1.006,0.488,0.000,0.061
19019,0.037,0.051,1.006,0.488,-0.061,-0.061
19036,0.038,0.052,1.007,0.366,0.000,-0.122
19052,0.038,0.053,1.006,0.427,0.000,-0.061
19067,0.039,0.053,1.006,0.488,0.000,-0.061
19083,0.038,0.053,1.007,0.427,0.000,-0.061
19098,0.038,0.053,1.007,0.366,0.000,-0.061
19114,0.037,0.053,1.007,0.427,0.000,-0.061
19129,0.037,0.052,1.006,0.427,0.000,-0.122
19159,0.037,0.052,1.007,0.427,0.061,-0.061
19175,0.038,0.052,1.008,0.488,0.061,-0.061
19191,0.039,0.053,1.007,0.488,0.000,-0.122
19207,0.039,0.052,1.005,0.427,0.000,-0.061
19223,0.039,0.053,1.007,0.366,0.000,-0.061
19241,0.039,0.053,1.007,0.427,-0.061,-0.122
19256,0.038,0.053,1.006,0.427,-0.061,-0.122
19272,0.038,0.054,1.006,0.427,0.000,-0.061
19287,0.037,0.052,1.007,0.488,0.000,-0.061
19303,0.036,0.052,1.005,0.488,-0.061,-0.061
19319,0.036,0.053,1.005,0.427,0.000,-0.061
19334,0.037,0.052,1.007,0.366,0.000,-0.122
19365,0.036,0.052,1.007,0.427,0.061,-0.061
19382,0.036,0.053,1.006,0.488,0.061,-0.122
19398,0.038,0.055,1.005,0.427,0.061,-0.122
19416,0.038,0.054,1.006,0.366,0.000,-0.122
19431,0.037,0.053,1.007,0.488,0.061,-0.122
19447,0.037,0.052,1.007,0.488,0.061,-0.122
19463,0.038,0.053,1.006,0.427,0.061,-0.061
19521,0.037,0.052,1.007,0.427,0.000,-0.061
19551,0.037,0.053,1.007,0.488,0.061,-0.061
19567,0.038,0.053,1.006,0.488,0.122,-0.122
19582,0.038,0.053,1.006,0.488,0.122,-0.061
19598,0.038,0.053,1.005,0.488,0.061,-0.061
19629,0.038,0.052,1.006,0.427,0.061,0.000
19645,0.038,0.051,1.007,0.366,0.122,-0.061
19660,0.037,0.053,1.006,0.366,0.061,-0.061
19676,0.037,0.054,1.006,0.427,0.061,-0.061
19691,0.037,0.053,1.005,0.366,0.061,-0.061
19707,0.038,0.053,1.006,0.366,0.000,-0.061
19722,0.038,0.052,1.006,0.366,0.000,-0.061
19738,0.037,0.052,1.007,0.488,0.000,0.000
19753,0.037,0.052,1.006,0.488,0.000,-0.061
19769,0.037,0.053,1.007,0.427,0.000,-0.122
19784,0.037,0.053,1.007,0.427,0.000,-0.122
19804,0.039,0.053,1.008,0.488,0.061,-0.122
19835,0.037,0.052,1.006,0.549,0.000,0.000
19851,0.037,0.051,1.005,0.488,0.061,-0.122
19873,0.037,0.052,1.006,0.427,0.061,-0.122
19889,0.037,0.052,1.007,0.366,0.000,-0.061
19904,0.037,0.052,1.007,0.427,0.000,-0.061
19920,0.037,0.053,1.005,0.427,0.000,-0.061
19936,0.037,0.053,1.005,0.427,0.000,-0.061
19952,0.038,0.053,1.008,0.366,0.000,-0.061
19968,0.039,0.052,1.008,0.488,0.000,0.000
19993,0.038,0.053,1.007,0.488,0.000,-0.061
20009,0.038,0.052,1.006,0.488,0.000,-0.061
20024,0.037,0.052,1.007,0.427,0.061,-0.122
20056,0.036,0.054,1.007,0.488,0.061,-0.122
20074,0.036,0.054,1.005,0.488,0.000,-0.122
