ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
38091,0.067,0.017,1.005,0.427,-1.099,-30.579
38121,-0.002,0.006,1.012,-3.540,-0.366,-42.786
38152,0.028,0.073,1.004,0.061,-1.526,-34.912
38179,0.021,0.071,1.007,0.854,-0.122,-2.563
38202,0.039,0.049,1.005,0.610,0.061,1.587
38257,0.037,0.050,1.006,0.366,0.061,-0.061
38285,0.038,0.051,1.007,0.610,-0.061,-0.122
38312,0.038,0.050,1.006,0.488,0.061,-0.122
38337,0.038,0.051,1.006,0.427,0.061,-0.183
38367,0.037,0.050,1.007,0.305,0.000,-0.061
38393,0.038,0.051,1.007,0.427,0.061,-0.061
38422,0.037,0.051,1.007,0.549,0.122,-0.122
38449,0.038,0.051,1.007,0.488,0.061,-0.061
38477,0.038,0.051,1.006,0.488,0.000,-0.183
38503,0.038,0.049,1.006,0.549,0.000,-0.122
38530,0.037,0.051,1.005,0.488,-0.061,-0.061
38584,0.038,0.051,1.006,0.366,0.122,-0.122
38610,0.039,0.051,1.008,0.305,0.061,-0.061
38637,0.037,0.050,1.005,0.366,0.122,-0.061
38665,0.038,0.051,1.006,0.427,0.000,-0.122
38694,0.038,0.051,1.008,0.366,0.122,-0.122
38722,0.038,0.052,1.008,0.366,0.061,-0.122
38751,0.037,0.052,1.006,0.488,-0.061,-0.061
38778,0.039,0.049,1.006,0.488,0.061,-0.061
38804,0.038,0.049,1.007,0.305,0.000,-0.122
38831,0.038,0.052,1.006,0.488,0.000,-0.061
38858,0.036,0.050,1.006,0.000,0.061,-0.122
38885,0.037,0.052,1.007,0.183,0.061,-0.122
38933,0.039,0.052,1.003,0.244,0.061,-0.122
38960,0.040,0.050,1.003,0.244,-0.061,-0.061
38988,0.040,0.047,1.004,-0.244,0.000,0.061
39018,0.040,0.050,1.008,-0.183,0.061,-0.122
39117,0.036,0.051,1.006,0.000,0.061,-0.061
39170,0.037,0.052,1.009,0.183,0.000,-0.122
39199,0.040,0.054,1.005,0.183,0.000,0.000
